material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
TPX,72,0.4,4,1,14,68,265,275,280,285,288,52.9,50,1160,1300,1450,1750,1735,1775,,140,160,145,15,18,130,2.4,23
TPX,72,0.4,4,1,14,68,275,285,285,290,288,52.9,50,1160,1300,1450,1750,1735,1775,,140,160,145,15,18,130,1.7,17
TPX,72,0.4,4,1,15,69,20,275,285,290,300,56,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,135,3.23,21.17
TPX,72,0.4,4,1,15,69,20,275,285,290,300,53,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,130,2.7,21.83
TPX,72,0.4,4,1,15,69,20,275,285,290,300,48.3,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,130,2.5,23.61
TPX,72,0.4,4,1,15,69,20,275,285,290,300,45.8,50,1150,1350,1600,2100,2050,2120,,125,150,140,15,20,130,2.31,23.72
TPX DX350,72,0.35,4,1,15,65,260,270,280,290,290,49.1,50,1325,1375,1600,2080,2050,2125,,195,160,150,15,20,130,3.03,20.75
TPX DX350,72,0.35,4,1,15,65,260,270,280,290,295,49.1,50,1290,1375,1600,2080,2050,2125,,195,160,150,15,20,130,2.74,21.67
rPET,72,0.3,2,1,15,83,245,255,260,270,265,35,50,1950,,,2000,1985,2050,,,,,15,18,220,1.35,173
rPET,72,0.3,2,1,15,83,245,255,260,270,265,68.5,50,2190,,,2201,2190,2280,,,,,15,24,210,1.28,171
PHB 2450 MOEL,48,0.4,4,1,8,50,165,170,175,185,185,57,50,850,,,955,970,1000,,,,,20,18,230,0.98,80
PET,72,0.4,2,1,18,80,260,275,280,285,290,55,40,2250,2400,2500,2550,2500,2595,22,,,,15,20,210,1.55,145
PET,72,0.4,2,1,21,75,255,265,270,280,285,49,40,,2400,2500,2550,2500,2595,22,,,,,,250,1.66,157
PET,72,0.4,2,1,21,80,255,265,270,280,285,32,40,,2400,2500,2550,2500,2595,22,,,,,,250,1.16,165
PP+7R,72,0.4,4,1,16,41.2,200,215,220,230,230,36.3,60,750,900,2100,2152,2025,2085,30,65,80,110,50,18,150,3.3,24.55
PP+7R,72,0.4,4,1,16,40.5,200,215,220,230,230,27,60,800,950,2150,2200,2025,2090,10,65,80,110,60,20,150,2.27,26.44
PP+7R,72,0.4,4,1,16,80,210,230,240,245,250,32.7,40,800,950,2150,2200,2040,2135,10,65,80,110,80,20,150,2.9,87
